time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-12 00:00:00+00:00,0,0,36,1
2023-12-14 00:00:00+00:00,0,0,3,1
2023-12-15 00:00:00+00:00,0,0,13,1
2023-12-16 00:00:00+00:00,0,0,6,1
2023-12-17 00:00:00+00:00,0,0,35,1
2023-12-20 00:00:00+00:00,1,1,121,1
2023-12-21 00:00:00+00:00,2,1,121,1
2023-12-22 00:00:00+00:00,1,1,4,1
2023-12-23 00:00:00+00:00,1,1,15,1
2023-12-24 00:00:00+00:00,9,8,53,22
2023-12-25 00:00:00+00:00,6,6,8,6
2023-12-26 00:00:00+00:00,8,7,38,10
2023-12-27 00:00:00+00:00,4,4,2,2
2023-12-28 00:00:00+00:00,2,2,6,4
2023-12-29 00:00:00+00:00,2,2,0,0
2023-12-30 00:00:00+00:00,2,2,0,0
