url_path,views_total,views_unique
/OSU-Nowlab/MCR-DL,72,44
/OSU-Nowlab/MCR-DL/tree/main/mcr_dl,14,3
/OSU-Nowlab/MCR-DL/tree/github-repo-stats/OSU-Nowlab/MCR-DL/latest-report,14,1
/OSU-Nowlab/MCR-DL/tree/main/benchmarks,13,2
/OSU-Nowlab/MCR-DL/branches,10,1
/OSU-Nowlab/MCR-DL/tree/github-repo-stats/OSU-Nowlab/MCR-DL,10,1
/OSU-Nowlab/MCR-DL/blob/github-repo-stats/OSU-Nowlab/MCR-DL/latest-report/report.pdf,9,1
/OSU-Nowlab/MCR-DL/tree/copyright-license/mcr_dl,7,1
/OSU-Nowlab/MCR-DL/pulls,6,1
/OSU-Nowlab/MCR-DL/tree/github-repo-stats,6,1
