time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-12-20 00:00:00+00:00,1,1,121.0,1.0
2023-12-21 00:00:00+00:00,2,1,121.0,1.0
2023-12-22 00:00:00+00:00,1,1,4.0,1.0
2023-12-23 00:00:00+00:00,1,1,15.0,1.0
2023-12-24 00:00:00+00:00,9,8,53.0,22.0
2023-12-25 00:00:00+00:00,6,6,8.0,6.0
2023-12-26 00:00:00+00:00,8,7,38.0,10.0
2023-12-27 00:00:00+00:00,4,4,2.0,2.0
2023-12-28 00:00:00+00:00,2,2,6.0,4.0
2023-12-29 00:00:00+00:00,2,2,,
2023-12-30 00:00:00+00:00,2,2,,
2023-12-31 00:00:00+00:00,2,2,,
2024-01-01 00:00:00+00:00,1,1,,
